type, data, note, extended
file_path, C:\windows\syswow64\netsetupsvc.dll, file_path_name,
dns, avsvmcloud.com, domain,
dns, digitalcollege.org, domain,
dns, freescanonline.com, domain,
dns, deftsecurity.com, domain,
dns, thedoccloud.com, domain,
dns, websitetheme.com, domain,
dns, highdatabase.com, domain,
dns, incomeupdate.com, domain,
dns, databasegalore.com, domain,
dns, panhardware.com, domain,
dns, zupertech.com, domain,
dns, seobundlekit.com, domain,
dns, lcomputers.com, domain,
dns, virtualdataserver.com, domain,
dns, webcodez.com, domain,
dns, infinitysoftwares.com, domain,
dns, ervsystem.com, domain,
dns, 13.59.205.66, ip,
dns, 54.193.127.66, ip,
dns, 54.215.192.52, ip,
dns, 34.203.203.23, ip,
dns, 139.99.115.204, ip,
dns, 5.252.177.25, ip,
dns, 5.252.177.21, ip,
dns, 204.188.205.176, ip,
dns, 51.89.125.18, ip,
dns, 167.114.213.199, ip,
file_hash, d0d626deb3f9484e649294a8dfa814c5568f846d5aa02d4cdad5d041a29d5600, sha256,
file_hash, 53f8dfc65169ccda021b72a62e0c22a4db7c4077f002fa742717d41b3c40f2c7, sha256,
file_hash, ce77d116a074dab7a22a0fd4f2c1ab475f16eec42e1ded3c0b0aa8211fe858d6, sha256,
file_hash, 32519b85c0b422e4656de6e6c41878e95fd95026267daab4215ee59c107d6c77, sha256,
file_hash, 292327e5c94afa352cc5a02ca273df543f2020d0e76368ff96c84f4e90778712, sha256,
file_hash, c15abaf51e78ca56c0376522d699c978217bf041a3bd3c71d09193efa5717c71, sha256,
file_hash, 019085a76ba7126fff22770d71bd901c325fc68ac55aa743327984e89f4b0134, sha256,
file_hash, ce77d116a074dab7a22a0fd4f2c1ab475f16eec42e1ded3c0b0aa8211fe858d6, sha256,
file_hash, abe22cf0d78836c3ea072daeaf4c5eeaf9c29b6feb597741651979fc8fbd2417, sha256,
file_hash, 2ade1ac8911ad6a23498230a5e119516db47f6e76687f804e2512cc9bcfda2b0, sha256,
file_hash, db9e63337dacf0c0f1baa06145fd5f1007002c63124f99180f520ac11d551420, sha256,
file_hash, 0f5d7e6dfdd62c83eb096ba193b5ae394001bac036745495674156ead6557589, sha256,
file_hash, b820e8a2057112d0ed73bd7995201dbed79a79e13c79d4bdad81a22f12387e07, sha256,
file_hash, 1817a5bf9c01035bcf8a975c9f1d94b0ce7f6a200339485d8f93859f8f6d730c, sha256,
